filename,row_index,raw_value,normalized,dns_resolved,http_active,http_details,active
Mock_Data_01_08_2025.xlsx,0,clicici.ca,clicici.ca,False,False,"{'error': 'all attempts failed', 'tried': ['clicici.ca', 'https://clicici.ca', 'http://clicici.ca']}",False
Mock_Data_01_08_2025.xlsx,1,clicicictan.ml,clicicictan.ml,False,False,"{'error': 'all attempts failed', 'tried': ['clicicictan.ml', 'https://clicicictan.ml', 'http://clicicictan.ml']}",False
Mock_Data_01_08_2025.xlsx,2,zicici.ml,zicici.ml,False,False,"{'error': 'all attempts failed', 'tried': ['zicici.ml', 'https://zicici.ml', 'http://zicici.ml']}",False
Mock_Data_01_08_2025.xlsx,3,www.myrewardscredit.in/icici,www.myrewardscredit.in/icici,False,False,"{'error': 'all attempts failed', 'tried': ['www.myrewardscredit.in/icici', 'https://www.myrewardscredit.in/icici', 'http://www.myrewardscredit.in/icici']}",False
Mock_Data_01_08_2025.xlsx,4,icicibankltd.masterjp-thebest.shop,icicibankltd.masterjp-thebest.shop,False,False,"{'error': 'all attempts failed', 'tried': ['icicibankltd.masterjp-thebest.shop', 'https://icicibankltd.masterjp-thebest.shop', 'http://icicibankltd.masterjp-thebest.shop']}",False
Mock_Data_01_08_2025.xlsx,5,beicicimagto.ml,beicicimagto.ml,False,False,"{'error': 'all attempts failed', 'tried': ['beicicimagto.ml', 'https://beicicimagto.ml', 'http://beicicimagto.ml']}",False
Mock_Data_01_08_2025.xlsx,6,micici.fr,micici.fr,False,False,"{'error': 'all attempts failed', 'tried': ['micici.fr', 'https://micici.fr', 'http://micici.fr']}",False
Mock_Data_01_08_2025.xlsx,7,oficicinati.it.com,oficicinati.it.com,False,False,"{'error': 'all attempts failed', 'tried': ['oficicinati.it.com', 'https://oficicinati.it.com', 'http://oficicinati.it.com']}",False
Mock_Data_01_08_2025.xlsx,8,universal-api-dot-icicibank-c4m.appspot.com/,universal-api-dot-icicibank-c4m.appspot.com/,True,False,"{'error': 'all attempts failed', 'tried': ['universal-api-dot-icicibank-c4m.appspot.com/', 'https://universal-api-dot-icicibank-c4m.appspot.com/', 'http://universal-api-dot-icicibank-c4m.appspot.com/']}",False
Mock_Data_01_08_2025.xlsx,9,icici.ttus.co.in,icici.ttus.co.in,False,False,"{'error': 'all attempts failed', 'tried': ['icici.ttus.co.in', 'https://icici.ttus.co.in', 'http://icici.ttus.co.in']}",False
Mock_Data_01_08_2025.xlsx,10,icibank.in,icibank.in,False,False,"{'error': 'all attempts failed', 'tried': ['icibank.in', 'https://icibank.in', 'http://icibank.in']}",False
